temperature,humidity,soil_moisture,pump_on
21.020780928098283,52.94217974403363,26.72181433966948,0
28.214111045470084,50.083714063160045,15.822536796832562,1
19.641807530568865,48.621054842691606,25.829141171567624,0
33.82563647066864,75.71310131122166,44.73110467407971,0
22.885350931497953,57.42445592521968,24.409111612462176,0
19.42535756786197,62.87147888896365,24.967546964218997,0
31.24834664834909,76.50738658380911,69.67514822274553,0
34.670211126943045,47.07878755460201,13.315454573745496,1
27.860229883012295,55.86970871306507,19.261501809756282,1
29.029312673979256,44.05892290411268,22.96454321334956,1
27.662678108936536,40.364241904051816,16.87017961290057,1
21.44174353177187,56.10381114817405,28.594697051477226,0
30.977805567156242,75.00594514303228,46.72507398125558,0
19.776617198431598,48.505835866676804,15.277357327258478,0
28.98275672395142,48.52654060219589,17.161498920130622,1
18.67271311619635,53.01802670742369,20.724775100709884,0
22.23059517206273,63.749443991371166,29.128019206819737,0
30.80702450837849,75.39179257094882,58.480363011727725,0
16.172960092814968,49.75051690867171,21.69134106461167,0
19.969121062503067,60.13028751854276,21.767407868921197,0
33.932441987622454,73.91530679056325,39.09964606524179,0
21.508737097826852,51.703069240156175,29.68715861939402,0
31.257296133053302,80.52507001136145,45.84118542730637,0
25.19409077454289,63.840401406787926,17.554751183676963,1
27.99995056511231,76.08605418757682,67.88797178036438,0
33.074836935637926,80.49215211996314,68.69175124788195,0
31.154747384770438,77.77213796317186,49.97368543283967,0
27.45186399733294,47.18596398130254,12.841843061562626,1
28.017210876955005,53.81710168788343,22.508685766551103,1
30.53209206150275,73.13197784408273,43.114130984640205,0
21.916779203262283,65.63548105923671,30.79684576243711,0
26.218724655271696,51.705230984953076,23.920035086578245,1
29.654544175370877,64.51598174315932,22.68034880533157,1
27.822453934142963,48.73899654954056,21.578898182845187,1
32.882487668920646,83.9736356896916,58.75558413738146,0
30.946512710342414,33.02162886609541,11.921858739162932,1
23.034426477878213,47.565422787883335,19.169103053851174,0
